2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.0 |   [5] >: x6 - 0 > 0
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.0 | ========================================
2025-11-27 16:51:08 | INFO    | cube | ..............................
2025-11-27 16:51:08 | INFO    | cube | [n=1] Starting analysis
2025-11-27 16:51:08 | INFO    | cube | ..............................
2025-11-27 16:51:08 | INFO    | cube.optim | Breaking down: x6 - (x5*1 + x4*1) = 1 * x_3
2025-11-27 16:51:08 | INFO    | cube.optim | Breakdown complete: 2 items
2025-11-27 16:51:08 | INFO    | cube.optim | Breaking down: x6 - x4*2 = 2 * x_3
2025-11-27 16:51:08 | INFO    | cube.optim | Breakdown complete: 3 items
2025-11-27 16:51:08 | INFO    | cube.partition | Partition x6eq2mx5&x5eqx4px3_0.0: When n = 1, x_4 > 1 * x_3 :
2025-11-27 16:51:08 | INFO    | cube.partition |   [1] : x6 - x5*2 = 0 * x_3
2025-11-27 16:51:08 | INFO    | cube.partition |   [2] : x6 - (x5*1 + x4*1) = 1 * x_3
2025-11-27 16:51:08 | INFO    | cube.partition |     > [1] : x6 - (x5*1 + x4*1) - 1*x3 = 0 * x_2
2025-11-27 16:51:08 | INFO    | cube.partition |     > [2] : x6 - (x5*1 + x4*1) - 0*x3 > 1 * x_2
2025-11-27 16:51:08 | INFO    | cube.partition |   [3] : x6 - x5*1 > 3 * x_3
2025-11-27 16:51:08 | INFO    | cube.partition |   [4] : x6 - x4*2 = 2 * x_3
2025-11-27 16:51:08 | INFO    | cube.partition |     > [1] : x6 - x4*2 - 2*x3 = 0 * x_2
2025-11-27 16:51:08 | INFO    | cube.partition |     > [2] : x6 - x4*2 - 1*x3 > 1 * x_2
2025-11-27 16:51:08 | INFO    | cube.partition |     > [3] : x6 - x4*2 - 0*x3 > 2 * x_2
2025-11-27 16:51:08 | INFO    | cube.partition |   [5] : x6 - x4*1 > 4 * x_3
2025-11-27 16:51:08 | INFO    | cube.partition |   [6] : x6 - 0 > 6 * x_3
2025-11-27 16:51:08 | INFO    | cube.partition | ----------------------------------------
2025-11-27 16:51:08 | INFO    | cube | Optimizing with method=pulp
2025-11-27 16:51:08 | INFO    | cube.optim | Starting optimization...
